,sex_F,sex_M,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
202,1,0,0,0,1,0,0,1,1,0,0,savory
290,0,1,0,1,0,1,0,0,1,0,0,savory
234,0,1,0,0,1,1,0,0,0,1,0,savory
352,1,0,1,0,0,1,0,0,0,1,0,spicy
350,0,1,1,0,0,0,1,0,1,0,0,sweet
131,0,1,0,0,1,0,0,1,0,1,0,spicy
149,0,1,0,1,0,0,1,0,0,1,0,spicy
189,0,1,0,1,0,0,1,0,0,1,0,savory
366,1,0,0,0,1,1,0,0,1,0,0,spicy
359,1,0,0,0,1,1,0,0,0,1,0,sweet
104,0,1,1,0,0,1,0,0,0,1,0,savory
339,0,1,1,0,0,1,0,0,1,0,0,savory
90,1,0,1,0,0,0,0,1,1,0,0,savory
91,0,1,0,1,0,0,1,0,0,1,0,sweet
40,1,0,1,0,0,0,1,0,1,0,0,spicy
285,0,1,0,1,0,1,0,0,1,0,0,savory
57,0,1,1,0,0,0,0,1,1,0,0,spicy
329,0,1,1,0,0,1,0,0,1,0,0,savory
47,0,1,0,1,0,0,1,0,0,1,0,sweet
44,1,0,1,0,0,1,0,0,1,0,0,savory
54,1,0,1,0,0,0,1,0,0,1,0,sweet
266,1,0,1,0,0,1,0,0,1,0,0,spicy
305,0,1,0,0,1,0,1,0,0,0,1,sweet
228,1,0,1,0,0,1,0,0,0,1,0,sweet
249,1,0,0,1,0,1,0,0,0,1,0,spicy
163,0,1,0,1,0,1,0,0,1,0,0,sweet
141,1,0,0,0,1,0,0,1,1,0,0,savory
323,1,0,0,0,1,0,1,0,0,1,0,spicy
365,0,1,0,1,0,1,0,0,1,0,0,savory
345,1,0,0,0,1,0,0,1,0,1,0,savory
175,1,0,0,1,0,1,0,0,0,1,0,savory
12,0,1,1,0,0,0,0,1,1,0,0,savory
95,1,0,1,0,0,1,0,0,1,0,0,sweet
135,0,1,0,0,1,1,0,0,1,0,0,savory
147,1,0,1,0,0,0,0,1,0,1,0,spicy
306,0,1,1,0,0,1,0,0,0,1,0,spicy
318,0,1,0,1,0,0,0,1,0,0,1,spicy
106,1,0,0,1,0,0,1,0,1,0,0,savory
176,1,0,0,1,0,0,1,0,0,1,0,spicy
218,1,0,0,1,0,1,0,0,1,0,0,spicy
262,1,0,1,0,0,0,0,1,1,0,0,savory
85,0,1,1,0,0,0,1,0,0,1,0,spicy
66,0,1,0,1,0,1,0,0,1,0,0,savory
242,0,1,0,0,1,1,0,0,1,0,0,spicy
239,0,1,0,0,1,1,0,0,1,0,0,savory
252,1,0,0,1,0,1,0,0,0,1,0,spicy
232,1,0,0,1,0,1,0,0,0,1,0,spicy
272,1,0,1,0,0,1,0,0,1,0,0,spicy
89,0,1,0,0,1,0,0,1,1,0,0,savory
361,1,0,1,0,0,1,0,0,1,0,0,spicy
114,0,1,0,0,1,0,0,1,1,0,0,savory
353,1,0,1,0,0,0,1,0,1,0,0,sweet
217,1,0,1,0,0,0,1,0,1,0,0,spicy
292,1,0,0,1,0,1,0,0,1,0,0,sweet
98,0,1,1,0,0,0,0,1,1,0,0,sweet
205,0,1,0,1,0,1,0,0,1,0,0,savory
369,1,0,0,0,1,0,1,0,0,0,1,spicy
73,1,0,0,1,0,1,0,0,1,0,0,savory
344,1,0,1,0,0,0,0,1,1,0,0,savory
97,1,0,1,0,0,0,0,1,0,1,0,savory
372,0,1,0,1,0,0,0,1,0,1,0,spicy
150,1,0,1,0,0,0,1,0,0,1,0,sweet
132,0,1,0,0,1,0,0,1,1,0,0,savory
130,0,1,0,0,1,0,0,1,1,0,0,spicy
161,0,1,1,0,0,1,0,0,0,1,0,savory
325,0,1,0,0,1,1,0,0,0,1,0,savory
173,1,0,0,1,0,1,0,0,0,1,0,spicy
127,0,1,1,0,0,1,0,0,1,0,0,savory
267,1,0,0,0,1,0,0,1,0,1,0,sweet
151,1,0,0,0,1,1,0,0,1,0,0,spicy
261,1,0,0,1,0,1,0,0,0,1,0,spicy
10,1,0,1,0,0,0,1,0,0,1,0,spicy
65,1,0,0,0,1,1,0,0,1,0,0,savory
181,0,1,0,1,0,1,0,0,1,0,0,savory
6,1,0,1,0,0,0,1,0,1,0,0,sweet
136,1,0,1,0,0,1,0,0,1,0,0,savory
300,0,1,1,0,0,0,1,0,0,1,0,spicy
367,1,0,0,1,0,1,0,0,1,0,0,spicy
118,1,0,0,1,0,1,0,0,1,0,0,savory
128,0,1,1,0,0,1,0,0,1,0,0,savory
59,1,0,0,1,0,1,0,0,1,0,0,spicy
287,1,0,0,0,1,1,0,0,1,0,0,savory
296,1,0,1,0,0,1,0,0,0,1,0,savory
167,0,1,1,0,0,1,0,0,0,1,0,savory
219,0,1,1,0,0,1,0,0,0,1,0,savory
354,0,1,1,0,0,0,1,0,1,0,0,savory
137,1,0,0,1,0,1,0,0,1,0,0,savory
