,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
65,0,0,1,1,0,0,1,0,0,savory
181,0,1,0,1,0,0,1,0,0,savory
6,1,0,0,0,1,0,1,0,0,sweet
136,1,0,0,1,0,0,1,0,0,savory
300,1,0,0,0,1,0,0,1,0,spicy
367,0,1,0,1,0,0,1,0,0,spicy
118,0,1,0,1,0,0,1,0,0,savory
128,1,0,0,1,0,0,1,0,0,savory
59,0,1,0,1,0,0,1,0,0,spicy
287,0,0,1,1,0,0,1,0,0,savory
296,1,0,0,1,0,0,0,1,0,savory
167,1,0,0,1,0,0,0,1,0,savory
219,1,0,0,1,0,0,0,1,0,savory
354,1,0,0,0,1,0,1,0,0,savory
137,0,1,0,1,0,0,1,0,0,savory
