,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_dinner,time_late night snack,time_launch,feeling_annoying,feeling_plearsure / joy,feeling_sadness / depressed,weather_cloudy / rain,weather_etc,weather_sunny
207,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
153,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
83,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
222,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
253,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
326,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
144,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
23,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
349,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
182,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
84,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
162,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
303,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
38,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
117,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
230,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
214,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
320,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
87,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
100,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
227,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
70,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
5,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
76,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
193,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
34,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
337,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
93,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
333,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
335,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
231,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
215,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
302,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
115,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
140,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
145,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
116,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
327,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
203,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
202,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
290,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
234,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
352,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
350,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
131,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
149,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
189,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
366,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
359,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
104,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
339,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
